order_id,customer_id,product_id,order_date,quantity
105,35,2,2023-03-31 00:00:00,1
106,70,5,2023-09-01 00:00:00,2
107,54,5,2023-07-08 00:00:00,1
108,81,17,2023-06-04 00:00:00,2
109,63,17,2023-07-22 00:00:00,4
110,9,16,2023-04-15 00:00:00,2
111,62,11,2023-09-15 00:00:00,4
112,2,14,2023-06-01 00:00:00,4
113,82,9,2023-05-12 00:00:00,3
114,36,12,2023-10-30 00:00:00,1
115,92,7,2023-12-04 00:00:00,4
116,41,10,2023-01-17 00:00:00,1
117,37,16,2023-03-26 00:00:00,2
118,49,4,2023-05-08 00:00:00,1
119,26,20,2023-10-25 00:00:00,3
120,68,13,2023-12-26 00:00:00,2
121,36,19,2023-12-20 00:00:00,2
122,31,18,2023-11-27 00:00:00,3
123,30,11,2023-04-19 00:00:00,1
124,34,3,2023-12-29 00:00:00,1
125,19,2,2023-04-02 00:00:00,2
126,18,12,2023-02-08 00:00:00,2
127,94,4,2023-12-14 00:00:00,3
128,85,13,2023-03-27 00:00:00,1
129,3,5,2023-09-09 00:00:00,1
130,70,2,2023-01-22 00:00:00,1
131,13,18,2023-09-24 00:00:00,3
132,45,1,2023-11-18 00:00:00,3
133,67,8,2023-04-10 00:00:00,2
134,92,5,2023-05-19 00:00:00,4
135,86,4,2023-05-17 00:00:00,4
136,40,6,2023-10-01 00:00:00,2
137,40,7,2023-03-28 00:00:00,2
138,76,4,2023-03-04 00:00:00,4
139,23,3,2023-06-13 00:00:00,2
140,31,9,2023-04-22 00:00:00,4
141,18,2,2023-11-03 00:00:00,1
142,71,5,2023-03-28 00:00:00,1
143,72,1,2023-07-03 00:00:00,1
144,19,14,2023-12-11 00:00:00,1
145,93,20,2023-08-20 00:00:00,3
146,44,10,2023-11-13 00:00:00,3
147,84,6,2023-12-10 00:00:00,1
148,50,2,2023-10-02 00:00:00,2
149,42,8,2023-09-13 00:00:00,1
150,94,9,2023-12-20 00:00:00,2
